index,name,sex
0,Mary,F
1,Anna,F
2,Emma,F
3,Elizabeth,F
4,Minnie,F
5,Margaret,F
6,Ida,F
7,Alice,F
8,Bertha,F
9,Sarah,F
10,Annie,F
11,Clara,F
12,Ella,F
13,Florence,F
14,Cora,F
15,Martha,F
16,Laura,F
17,Nellie,F
18,Grace,F
19,Carrie,F
20,Maude,F
21,Mabel,F
22,Bessie,F
23,Jennie,F
24,Gertrude,F
25,Julia,F
26,Hattie,F
27,Edith,F
28,Mattie,F
29,Rose,F
30,Catherine,F
31,Lillian,F
32,Ada,F
33,Lillie,F
34,Helen,F
35,Jessie,F
36,Louise,F
37,Ethel,F
38,Lula,F
39,Myrtle,F
40,Eva,F
41,Frances,F
42,Lena,F
43,Lucy,F
44,Edna,F
45,Maggie,F
46,Pearl,F
47,Daisy,F
48,Fannie,F
49,Josephine,F
50,Dora,F
51,Rosa,F
52,Katherine,F
53,Agnes,F
54,Marie,F
55,Nora,F
56,May,F
57,Mamie,F
58,Blanche,F
59,Stella,F
60,Ellen,F
61,Nancy,F
62,Effie,F
63,Sallie,F
64,Nettie,F
65,Della,F
66,Lizzie,F
67,Flora,F
68,Susie,F
69,Maud,F
70,Mae,F
71,Etta,F
72,Harriet,F
73,Sadie,F
74,Caroline,F
75,Katie,F
76,Lydia,F
77,Elsie,F
78,Kate,F
79,Susan,F
80,Mollie,F
81,Alma,F
82,Addie,F
83,Georgia,F
84,Eliza,F
85,Lulu,F
86,Nannie,F
87,Lottie,F
88,Amanda,F
89,Belle,F
90,Charlotte,F
91,Rebecca,F
92,Ruth,F
93,Viola,F
94,Olive,F
95,Amelia,F
96,Hannah,F
97,Jane,F
98,Virginia,F
99,Emily,F
100,Matilda,F
101,Irene,F
102,Kathryn,F
103,Esther,F
104,Willie,F
105,Henrietta,F
106,Ollie,F
107,Amy,F
108,Rachel,F
109,Sara,F
110,Estella,F
111,Theresa,F
112,Augusta,F
113,Ora,F
114,Pauline,F
115,Josie,F
116,Lola,F
117,Sophia,F
118,Leona,F
119,Anne,F
120,Mildred,F
121,Ann,F
122,Beulah,F
123,Callie,F
124,Lou,F
125,Delia,F
126,Eleanor,F
127,Barbara,F
